=== YFFS2 Test Operations ===

=== YAFFS2 Media Information ===
Mount point          : /
Filesystem type      : YAFFS2
Total space          : 32768 KB (32 MB)
Free space           : 18300 KB (17 MB)
Used space           : 14467 KB (14 MB)
Usage                : 44% used, 56% free
GC Recommendation    : Low usage - passive garbage collection sufficient

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled

Test operations:
<1> - Write files test
<2> - Read files test
<3> - Delete files test
<4> - Format filesystem test
<5> - Run full test (write+read+delete)

Configuration:
<6> - Change files count (1-10000)
<7> - Change file size (1KB-1MB)
<8> - Change block size (1KB-128KB)
<A> - Change data pattern
<B> - Toggle data verification
<C> - Change constant pattern value
<9> - Reset to defaults
<ESC> - Return to previous menu

Enter choice: 
=== YAFFS2 Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File /test_066.bin: opened:   447 us, closed:     3 us, I/O:   2132 us, total:   7923 us, speed:  4690 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_067.bin: opened:   447 us, closed:     3 us, I/O:   2136 us, total:   7898 us, speed:  4681 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_068.bin: opened:   466 us, closed:     3 us, I/O:   2133 us, total:   7895 us, speed:  4688 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_069.bin: opened:   439 us, closed:     3 us, I/O:   2139 us, total:   7844 us, speed:  4675 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_070.bin: opened:   428 us, closed:     3 us, I/O:   2139 us, total:  13869 us, speed:  4675 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_071.bin: opened:   427 us, closed:     3 us, I/O:   2167 us, total:   7907 us, speed:  4614 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_072.bin: opened:   431 us, closed:     3 us, I/O:   2144 us, total:   7844 us, speed:  4664 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_073.bin: opened:   433 us, closed:     3 us, I/O:   2146 us, total:   7906 us, speed:  4659 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_074.bin: opened:   436 us, closed:     3 us, I/O:   2151 us, total:   7893 us, speed:  4649 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_075.bin: opened:   442 us, closed:     3 us, I/O:   2132 us, total:   7858 us, speed:  4690 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_076.bin: opened:   445 us, closed:     3 us, I/O:   2138 us, total:   7873 us, speed:  4677 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_077.bin: opened:   441 us, closed:     3 us, I/O:   2165 us, total:   7920 us, speed:  4618 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_078.bin: opened:   441 us, closed:     3 us, I/O:   2145 us, total:   7877 us, speed:  4662 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_079.bin: opened:   439 us, closed:     3 us, I/O:   2130 us, total:   7874 us, speed:  4694 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_080.bin: opened:   432 us, closed:     3 us, I/O:   2135 us, total:   7851 us, speed:  4683 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_081.bin: opened:   432 us, closed:     3 us, I/O:   2138 us, total:   7881 us, speed:  4677 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_082.bin: opened:   434 us, closed:     3 us, I/O:   2151 us, total:   7866 us, speed:  4649 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_083.bin: opened:   439 us, closed:     3 us, I/O:   2137 us, total:   7864 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_084.bin: opened:   439 us, closed:     3 us, I/O:   2134 us, total:   7904 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_085.bin: opened:   440 us, closed:     3 us, I/O:   2140 us, total:   7844 us, speed:  4672 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_086.bin: opened:   441 us, closed:     3 us, I/O:   2141 us, total:   7959 us, speed:  4670 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_087.bin: opened:   451 us, closed:     3 us, I/O:   2145 us, total:   7907 us, speed:  4662 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
