=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_066.bin... opened:  2930 us, closed:     3 us, I/O:   1889 us, total:  10004 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_067.bin... opened:  2907 us, closed:     3 us, I/O:   1890 us, total:   9968 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_068.bin... opened:  2892 us, closed:     3 us, I/O:   1889 us, total:   9945 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_069.bin... opened:  2885 us, closed:     3 us, I/O:   1889 us, total:   9952 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_070.bin... opened:  2909 us, closed:     3 us, I/O:   1882 us, total:   9949 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_071.bin... opened:  2847 us, closed:     3 us, I/O:   1891 us, total:   9886 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_072.bin... opened:  8675 us, closed:     6 us, I/O:   1885 us, total:  15717 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_073.bin... opened:  2850 us, closed:     3 us, I/O:   1888 us, total:   9889 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_074.bin... opened:  2802 us, closed:     3 us, I/O:   1889 us, total:   9846 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_075.bin... opened:  2811 us, closed:     3 us, I/O:   1885 us, total:   9845 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_076.bin... opened:  2781 us, closed:     3 us, I/O:   1892 us, total:   9813 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_077.bin... opened:  2762 us, closed:     3 us, I/O:   1890 us, total:   9810 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_078.bin... opened:  2731 us, closed:     3 us, I/O:   1888 us, total:   9808 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_079.bin... opened:  2725 us, closed:     3 us, I/O:   1888 us, total:   9775 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_080.bin... opened:  2742 us, closed:     3 us, I/O:   1892 us, total:  15741 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_081.bin... opened:  2692 us, closed:     3 us, I/O:   1891 us, total:   9761 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_082.bin... opened:  2690 us, closed:     3 us, I/O:   1890 us, total:   9754 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_083.bin... opened:  2685 us, closed:     3 us, I/O:   1887 us, total:   9727 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_084.bin... opened:  4650 us, closed:     3 us, I/O:   1885 us, total:  11707 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
