=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_111.bin... opened:  4314 us, closed:   445 us, I/O:  85351 us, total:  95031 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_112.bin... opened:  4401 us, closed:   433 us, I/O: 100028 us, total: 109822 us, speed:    99 KB/s, CRC32: 0xC61C2AA0
Writing /test_113.bin... opened:  4573 us, closed:   416 us, I/O:  85823 us, total:  95727 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_114.bin... opened:  4622 us, closed:   397 us, I/O:  84873 us, total:  94791 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_115.bin... opened:  4630 us, closed:   365 us, I/O: 101994 us, total: 111915 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_116.bin... opened:  4715 us, closed:   364 us, I/O:  99878 us, total: 115858 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_117.bin... opened:  4712 us, closed:   334 us, I/O:  91271 us, total: 101327 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_118.bin... opened:  4762 us, closed:   318 us, I/O:  88533 us, total:  98584 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_119.bin... opened:  4798 us, closed:   221 us, I/O: 103119 us, total: 113085 us, speed:    96 KB/s, CRC32: 0xC61C2AA0
Writing /test_120.bin... opened: 1516828 us, closed:   439 us, I/O:  93950 us, total: 1616117 us, speed:   106 KB/s, CRC32: 0xC61C2AA0
Writing /test_121.bin... opened:  4460 us, closed:   437 us, I/O:  90313 us, total: 100208 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_122.bin... opened:  4514 us, closed:   442 us, I/O: 104730 us, total: 114707 us, speed:    95 KB/s, CRC32: 0xC61C2AA0
Writing /test_123.bin... opened:  4570 us, closed:   454 us, I/O:  82686 us, total:  92629 us, speed:   120 KB/s, CRC32: 0xC61C2AA0
Writing /test_124.bin... opened:  4660 us, closed:   443 us, I/O:  89610 us, total:  99664 us, speed:   111 KB/s, CRC32: 0xC61C2AA0
Writing /test_125.bin... opened:  4721 us, closed:   439 us, I/O: 105075 us, total: 115158 us, speed:    95 KB/s, CRC32: 0xC61C2AA0
Writing /test_126.bin... opened:  4769 us, closed:   443 us, I/O: 106497 us, total: 116642 us, speed:    93 KB/s, CRC32: 0xC61C2AA0
Writing /test_127.bin... opened:  4835 us, closed:   455 us, I/O:  88622 us, total:  98839 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_128.bin... opened:  5072 us, closed:   442 us, I/O:  85674 us, total:  96135 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_129.bin... opened:  5123 us, closed:   443 us, I/O: 101374 us, total: 111879 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_130.bin... opened:  5209 us, closed:   441 us, I/O:  88794 us, total: 105353 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_131.bin... opened: 11196 us, closed:   443 us, I/O: 101067 us, total: 117624 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
