
=== YAFFS2 Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File /test_139.bin: opened:  2149 us, closed:     5 us, I/O:  15065 us, total:  22275 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_140.bin: opened:  2114 us, closed:     5 us, I/O:  15020 us, total:  22224 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_141.bin: opened:  2125 us, closed:    25 us, I/O:  20921 us, total:  28113 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_142.bin: opened:  2136 us, closed:     5 us, I/O:  16590 us, total:  23779 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_143.bin: opened:  2140 us, closed:     5 us, I/O:  15012 us, total:  22259 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_144.bin: opened:  2163 us, closed:     6 us, I/O:  15034 us, total:  22239 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_145.bin: opened:  2137 us, closed:     5 us, I/O:  21014 us, total:  28222 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_146.bin: opened:  2135 us, closed:     5 us, I/O:  16642 us, total:  23860 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_147.bin: opened:  2144 us, closed:     5 us, I/O:  15053 us, total:  22214 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_148.bin: opened:  2177 us, closed:     5 us, I/O:  15100 us, total:  22318 us, speed:   662 KB/s, CRC32: 0xC61C2AA0
File /test_149.bin: opened:  2150 us, closed:     5 us, I/O:  20998 us, total:  28249 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_150.bin: opened:  2144 us, closed:     5 us, I/O:  16679 us, total:  23857 us, speed:   599 KB/s, CRC32: 0xC61C2AA0
File /test_151.bin: opened:  2142 us, closed:     8 us, I/O:  15049 us, total:  22261 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_152.bin: opened:  2141 us, closed:     5 us, I/O:  15036 us, total:  22289 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_153.bin: opened:  2134 us, closed:     5 us, I/O:  20987 us, total:  28176 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_154.bin: opened:  2137 us, closed:     5 us, I/O:  16614 us, total:  23780 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_155.bin: opened:  2154 us, closed:     8 us, I/O:  15039 us, total:  22251 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_156.bin: opened:  2143 us, closed:     5 us, I/O:  15025 us, total:  22250 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_157.bin: opened:  2132 us, closed:     5 us, I/O:  20986 us, total:  28160 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_158.bin: opened:  2158 us, closed:     5 us, I/O:  16662 us, total:  23899 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_159.bin: opened:  2143 us, closed:     5 us, I/O:  15047 us, total:  22221 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_160.bin: opened:  2140 us, closed:     5 us, I/O:  15043 us, total:  22254 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_161.bin: opened:  2141 us, closed:     5 us, I/O:  20982 us, total:  28199 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_162.bin: opened:  2155 us, closed:     5 us, I/O:  16640 us, total:  23856 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_163.bin: opened:  2170 us, closed:     5 us, I/O:  15044 us, total:  22285 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_164.bin: opened:  2175 us, closed:     5 us, I/O:  14999 us, total:  22266 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_165.bin: opened:  2151 us, closed:     5 us, I/O:  21024 us, total:  28310 us, speed:   475 KB/s, CRC32: 0xC61C2AA0
File /test_166.bin: opened:  2142 us, closed:     5 us, I/O:  16670 us, total:  23852 us, speed:   599 KB/s, CRC32: 0xC61C2AA0
File /test_167.bin: opened:  2134 us, closed:     8 us, I/O:  15060 us, total:  22252 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_168.bin: opened:  2152 us, closed:     5 us, I/O:  15014 us, total:  22305 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_169.bin: opened:  2174 us, closed:     5 us, I/O:  20953 us, total:  28209 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_170.bin: opened:  2142 us, closed:     9 us, I/O:  16645 us, total:  23849 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_171.bin: opened:  2159 us, closed:     5 us, I/O:  15044 us, total:  22276 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_172.bin: opened:  2158 us, closed:     5 us, I/O:  15079 us, total:  22315 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_173.bin: opened:  2162 us, closed:     5 us, I/O:  20982 us, total:  28232 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_174.bin: opened:  2149 us, closed:     5 us, I/O:  16614 us, total:  23844 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_175.bin: opened:  2178 us, closed:     5 us, I/O:  15046 us, total:  22330 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_176.bin: opened:  2160 us, closed:     5 us, I/O:  14994 us, total:  22266 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_177.bin: opened:  2156 us, closed:     5 us, I/O:  20977 us, total:  28242 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_178.bin: opened:  2167 us, closed:     5 us, I/O:  16629 us, total:  23844 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_179.bin: opened:  2177 us, closed:     5 us, I/O:  15062 us, total:  22339 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_180.bin: opened:  2161 us, closed:     5 us, I/O:  15030 us, total:  22276 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_181.bin: opened:  2157 us, closed:     5 us, I/O:  20852 us, total:  28541 us, speed:   479 KB/s, CRC32: 0xC61C2AA0
File /test_182.bin: opened:  3334 us, closed:     5 us, I/O:  15492 us, total:  23916 us, speed:   645 KB/s, CRC32: 0xC61C2AA0
File /test_183.bin: opened:  2159 us, closed:     5 us, I/O:  15026 us, total:  22278 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_184.bin: opened:  2170 us, closed:     5 us, I/O:  15023 us, total:  22278 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_185.bin: opened:  2171 us, closed:     5 us, I/O:  15046 us, total:  22317 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_186.bin: opened:  3766 us, closed:     5 us, I/O:  15087 us, total:  24030 us, speed:   662 KB/s, CRC32: 0xC61C2AA0
File /test_187.bin: opened:  2161 us, closed:     5 us, I/O:  15080 us, total:  22378 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
