
=== YAFFS2 Delete Test ===
Deleting 1000 test files...
File /test_330.bin: deleted:   3974 us, speed:  2516 KB/s
File /test_331.bin: deleted:   3995 us, speed:  2503 KB/s
File /test_332.bin: deleted:   4063 us, speed:  2461 KB/s
File /test_333.bin: deleted:   4016 us, speed:  2490 KB/s
File /test_334.bin: deleted:   4023 us, speed:  2485 KB/s
File /test_335.bin: deleted:   3994 us, speed:  2503 KB/s
File /test_336.bin: deleted:   4059 us, speed:  2463 KB/s
File /test_337.bin: deleted:   5631 us, speed:  1775 KB/s
File /test_338.bin: deleted:   4043 us, speed:  2473 KB/s
File /test_339.bin: deleted:   9966 us, speed:  1003 KB/s
File /test_340.bin: deleted:   3986 us, speed:  2508 KB/s
File /test_341.bin: deleted:   4003 us, speed:  2498 KB/s
File /test_342.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_343.bin: deleted:   4043 us, speed:  2473 KB/s
File /test_344.bin: deleted:   4033 us, speed:  2479 KB/s
File /test_345.bin: deleted:   4060 us, speed:  2463 KB/s
File /test_346.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_347.bin: deleted:   4071 us, speed:  2456 KB/s
File /test_348.bin: deleted:   3986 us, speed:  2508 KB/s
File /test_349.bin: deleted:   3995 us, speed:  2503 KB/s
File /test_350.bin: deleted:   4018 us, speed:  2488 KB/s
File /test_351.bin: deleted:   3994 us, speed:  2503 KB/s
File /test_352.bin: deleted:   4009 us, speed:  2494 KB/s
File /test_353.bin: deleted:   4033 us, speed:  2479 KB/s
File /test_354.bin: deleted:   4026 us, speed:  2483 KB/s
File /test_355.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_356.bin: deleted:   4047 us, speed:  2470 KB/s
File /test_357.bin: deleted:   3994 us, speed:  2503 KB/s
File /test_358.bin: deleted:   5596 us, speed:  1786 KB/s
File /test_359.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_360.bin: deleted:   4023 us, speed:  2485 KB/s
File /test_361.bin: deleted:   9953 us, speed:  1004 KB/s
File /test_362.bin: deleted:   4057 us, speed:  2464 KB/s
File /test_363.bin: deleted:   4014 us, speed:  2491 KB/s
File /test_364.bin: deleted:   4020 us, speed:  2487 KB/s
File /test_365.bin: deleted:   4024 us, speed:  2485 KB/s
File /test_366.bin: deleted:   4017 us, speed:  2489 KB/s
File /test_367.bin: deleted:   4032 us, speed:  2480 KB/s
File /test_368.bin: deleted:   3993 us, speed:  2504 KB/s
File /test_369.bin: deleted:   3992 us, speed:  2505 KB/s
File /test_370.bin: deleted:   4006 us, speed:  2496 KB/s
File /test_371.bin: deleted:   3977 us, speed:  2514 KB/s
File /test_372.bin: deleted:   3992 us, speed:  2505 KB/s
File /test_373.bin: deleted:   4030 us, speed:  2481 KB/s
File /test_374.bin: deleted:   4036 us, speed:  2477 KB/s
File /test_375.bin: deleted:   4061 us, speed:  2462 KB/s
File /test_376.bin: deleted:   4035 us, speed:  2478 KB/s
File /test_377.bin: deleted:   3995 us, speed:  2503 KB/s
File /test_378.bin: deleted:   4020 us, speed:  2487 KB/s
File /test_379.bin: deleted:   5551 us, speed:  1801 KB/s
File /test_380.bin: deleted:   4011 us, speed:  2493 KB/s
File /test_381.bin: deleted:   3989 us, speed:  2506 KB/s
File /test_382.bin: deleted:   3994 us, speed:  2503 KB/s
File /test_383.bin: deleted:   9991 us, speed:  1000 KB/s
File /test_384.bin: deleted:   3953 us, speed:  2529 KB/s
File /test_385.bin: deleted:   4012 us, speed:  2492 KB/s
File /test_386.bin: deleted:   3974 us, speed:  2516 KB/s
File /test_387.bin: deleted:   3987 us, speed:  2508 KB/s
File /test_388.bin: deleted:   3987 us, speed:  2508 KB/s
File /test_389.bin: deleted:   3985 us, speed:  2509 KB/s
File /test_390.bin: deleted:   3988 us, speed:  2507 KB/s
File /test_391.bin: deleted:   4013 us, speed:  2491 KB/s
File /test_392.bin: deleted:   3974 us, speed:  2516 KB/s
File /test_393.bin: deleted:   3967 us, speed:  2520 KB/s
File /test_394.bin: deleted:   3987 us, speed:  2508 KB/s
File /test_395.bin: deleted:   4007 us, speed:  2495 KB/s
File /test_396.bin: deleted:   3982 us, speed:  2511 KB/s
File /test_397.bin: deleted:   3990 us, speed:  2506 KB/s
File /test_398.bin: deleted:   4014 us, speed:  2491 KB/s
File /test_399.bin: deleted:   3987 us, speed:  2508 KB/s
File /test_400.bin: deleted:   5531 us, speed:  1807 KB/s
File /test_401.bin: deleted:   3995 us, speed:  2503 KB/s
File /test_402.bin: deleted:   3934 us, speed:  2541 KB/s
File /test_403.bin: deleted:   3940 us, speed:  2538 KB/s
File /test_404.bin: deleted:   3962 us, speed:  2523 KB/s
File /test_405.bin: deleted:   9949 us, speed:  1005 KB/s
File /test_406.bin: deleted:   4064 us, speed:  2460 KB/s
File /test_407.bin: deleted:   4009 us, speed:  2494 KB/s
File /test_408.bin: deleted:   3960 us, speed:  2525 KB/s
File /test_409.bin: deleted:   3976 us, speed:  2515 KB/s
File /test_410.bin: deleted:   3993 us, speed:  2504 KB/s
File /test_411.bin: deleted:   3947 us, speed:  2533 KB/s
File /test_412.bin: deleted:   3927 us, speed:  2546 KB/s
File /test_413.bin: deleted:   3931 us, speed:  2543 KB/s
File /test_414.bin: deleted:   3961 us, speed:  2524 KB/s
File /test_415.bin: deleted:   3909 us, speed:  2558 KB/s
File /test_416.bin: deleted:   3982 us, speed:  2511 KB/s
File /test_417.bin: deleted:   3950 us, speed:  2531 KB/s
File /test_418.bin: deleted:   4067 us, speed:  2458 KB/s
File /test_419.bin: deleted:   4018 us, speed:  2488 KB/s
File /test_420.bin: deleted:   3933 us, speed:  2542 KB/s
File /test_421.bin: deleted:   5557 us, speed:  1799 KB/s
File /test_422.bin: deleted:   3981 us, speed:  2511 KB/s
File /test_423.bin: deleted:   3974 us, speed:  2516 KB/s
File /test_424.bin: deleted:   3973 us, speed:  2516 KB/s
File /test_425.bin: deleted:   3976 us, speed:  2515 KB/s
File /test_426.bin: deleted:   3967 us, speed:  2520 KB/s
File /test_427.bin: deleted:   9869 us, speed:  1013 KB/s
File /test_428.bin: deleted:   4006 us, speed:  2496 KB/s
File /test_429.bin: deleted:   3990 us, speed:  2506 KB/s
File /test_430.bin: deleted:   3903 us, speed:  2562 KB/s
File /test_431.bin: deleted:   3959 us, speed:  2525 KB/s
File /test_432.bin: deleted:   3948 us, speed:  2532 KB/s
File /test_433.bin: deleted:   3958 us, speed:  2526 KB/s
File /test_434.bin: deleted:   3940 us, speed:  2538 KB/s
File /test_435.bin: deleted:   3938 us, speed:  2539 KB/s
File /test_436.bin: deleted:   3965 us, speed:  2522 KB/s
File /test_437.bin: deleted:   3982 us, speed:  2511 KB/s
File /test_438.bin: deleted:   4003 us, speed:  2498 KB/s
File /test_439.bin: deleted:   3899 us, speed:  2564 KB/s
File /test_440.bin: deleted:   3944 us, speed:  2535 KB/s
File /test_441.bin: deleted:   3904 us, speed:  2561 KB/s
File /test_442.bin: deleted:   5536 us, speed:  1806 KB/s
File /test_443.bin: deleted:   3923 us, speed:  2549 KB/s
File /test_444.bin: deleted:   3938 us, speed:  2539 KB/s
File /test_445.bin: deleted:   3960 us, speed:  2525 KB/s
File /test_446.bin: deleted:   3952 us, speed:  2530 KB/s
File /test_447.bin: deleted:   4007 us, speed:  2495 KB/s
