
=== FileX Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File test_113.bin: opened:  1798 us, closed:     2 us, I/O:  10758 us, total:  17889 us, speed:   929 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_114.bin: opened:  1609 us, closed:     2 us, I/O:   2017 us, total:   8976 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_115.bin: opened:  1634 us, closed:     2 us, I/O:   2025 us, total:   9030 us, speed:  4938 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_116.bin: opened:  1886 us, closed:     2 us, I/O:  10679 us, total:  17879 us, speed:   936 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_117.bin: opened:  1638 us, closed:     2 us, I/O:   2024 us, total:   9032 us, speed:  4940 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_118.bin: opened:  1654 us, closed:     2 us, I/O:   2028 us, total:   9006 us, speed:  4930 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_119.bin: opened:  1700 us, closed:     2 us, I/O:   2053 us, total:   9058 us, speed:  4870 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_120.bin: opened:  1708 us, closed:     2 us, I/O:   2018 us, total:   9050 us, speed:  4955 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_121.bin: opened:  1901 us, closed:     2 us, I/O:  10699 us, total:  17972 us, speed:   934 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_122.bin: opened:  1705 us, closed:     2 us, I/O:   2056 us, total:   9164 us, speed:  4863 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_123.bin: opened:  1720 us, closed:     2 us, I/O:   2066 us, total:   9188 us, speed:  4840 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_124.bin: opened:  1730 us, closed:     2 us, I/O:   2016 us, total:   9106 us, speed:  4960 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_125.bin: opened:  1740 us, closed:     2 us, I/O:   2024 us, total:   9166 us, speed:  4940 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_126.bin: opened:  1762 us, closed:     2 us, I/O:   8016 us, total:  15053 us, speed:  1247 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_127.bin: opened:  1776 us, closed:     2 us, I/O:   2092 us, total:   9193 us, speed:  4780 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_128.bin: opened:  2030 us, closed:     2 us, I/O:  10601 us, total:  17980 us, speed:   943 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_129.bin: opened:  2006 us, closed:     2 us, I/O:  10635 us, total:  17982 us, speed:   940 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_130.bin: opened:  1813 us, closed:     2 us, I/O:   2032 us, total:   9198 us, speed:  4921 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_131.bin: opened:  1823 us, closed:     2 us, I/O:   2025 us, total:   9232 us, speed:  4938 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_132.bin: opened:  1872 us, closed:     2 us, I/O:   2016 us, total:   9215 us, speed:  4960 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_133.bin: opened:  1886 us, closed:     2 us, I/O:   2025 us, total:  15197 us, speed:  4938 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_134.bin: opened:  1871 us, closed:     2 us, I/O:   2069 us, total:   9298 us, speed:  4833 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_135.bin: opened:  1884 us, closed:     2 us, I/O:   2039 us, total:   9267 us, speed:  4904 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_136.bin: opened:  1897 us, closed:     2 us, I/O:   2052 us, total:   9269 us, speed:  4873 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_137.bin: opened:  2107 us, closed:     2 us, I/O:  10520 us, total:  17968 us, speed:   950 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_138.bin: opened:  1945 us, closed:     2 us, I/O:   2080 us, total:   9383 us, speed:  4807 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_139.bin: opened:  1977 us, closed:     2 us, I/O:   2078 us, total:   9348 us, speed:  4812 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_140.bin: opened:  1947 us, closed:     2 us, I/O:   2075 us, total:   9357 us, speed:  4819 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_141.bin: opened:  2203 us, closed:     2 us, I/O:  16469 us, total:  23976 us, speed:   607 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_142.bin: opened:  2000 us, closed:     2 us, I/O:   2025 us, total:   9355 us, speed:  4938 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_143.bin: opened:  2016 us, closed:     2 us, I/O:   2053 us, total:   9398 us, speed:  4870 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_144.bin: opened:  2026 us, closed:     2 us, I/O:   2078 us, total:   9438 us, speed:  4812 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_145.bin: opened:  2230 us, closed:     2 us, I/O:  10435 us, total:  18001 us, speed:   958 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_146.bin: opened:  2041 us, closed:     2 us, I/O:   2050 us, total:   9454 us, speed:  4878 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_147.bin: opened:  2045 us, closed:     2 us, I/O:   2052 us, total:   9495 us, speed:  4873 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_148.bin: opened:  2063 us, closed:     2 us, I/O:   2085 us, total:   9517 us, speed:  4796 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_149.bin: opened:  2075 us, closed:     2 us, I/O:   8050 us, total:  15450 us, speed:  1242 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_150.bin: opened:  2110 us, closed:     2 us, I/O:   2021 us, total:   9453 us, speed:  4948 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_151.bin: opened:  2121 us, closed:     2 us, I/O:   2097 us, total:   9548 us, speed:  4768 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_152.bin: opened:  2138 us, closed:     2 us, I/O:   2034 us, total:   9493 us, speed:  4916 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_153.bin: opened:  2333 us, closed:     2 us, I/O:  10400 us, total:  18105 us, speed:   961 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_154.bin: opened:  2394 us, closed:     2 us, I/O:  10392 us, total:  18142 us, speed:   962 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_155.bin: opened:  2159 us, closed:     2 us, I/O:   2047 us, total:   9575 us, speed:  4885 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_156.bin: opened:  2167 us, closed:     2 us, I/O:   2018 us, total:  15538 us, speed:  4955 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
