
=== FileX Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File test_150.bin: opened:  2014 us, closed:   905 us, I/O:  35193 us, total:  49575 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_151.bin: opened:  2016 us, closed:   905 us, I/O:  29471 us, total:  43900 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_152.bin: opened:  2031 us, closed:   903 us, I/O:  37199 us, total:  51704 us, speed:   268 KB/s, CRC32: 0xC61C2AA0
File test_153.bin: opened:  2046 us, closed:   908 us, I/O:  30408 us, total:  45674 us, speed:   328 KB/s, CRC32: 0xC61C2AA0
File test_154.bin: opened:  2054 us, closed:   906 us, I/O:  38203 us, total:  52815 us, speed:   261 KB/s, CRC32: 0xC61C2AA0
File test_155.bin: opened:  2068 us, closed:   906 us, I/O:  29534 us, total:  44193 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_156.bin: opened:  2107 us, closed:   899 us, I/O:  37659 us, total:  52364 us, speed:   265 KB/s, CRC32: 0xC61C2AA0
File test_157.bin: opened:  2116 us, closed:   923 us, I/O:  28930 us, total:  43694 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_158.bin: opened:  2128 us, closed:   905 us, I/O:  29210 us, total:  44013 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_159.bin: opened:  2130 us, closed:   905 us, I/O:  29376 us, total:  50084 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_160.bin: opened:  2135 us, closed:   898 us, I/O:  29522 us, total:  44313 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_161.bin: opened:  2153 us, closed:   909 us, I/O:  30369 us, total:  52017 us, speed:   329 KB/s, CRC32: 0xC61C2AA0
File test_162.bin: opened:  2168 us, closed:   918 us, I/O:  29145 us, total:  44102 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_163.bin: opened:  2175 us, closed:   909 us, I/O:  29311 us, total:  50227 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_164.bin: opened:  2227 us, closed:   924 us, I/O:  29539 us, total:  44547 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_165.bin: opened:  2235 us, closed:   922 us, I/O:  31470 us, total:  52470 us, speed:   317 KB/s, CRC32: 0xC61C2AA0
File test_166.bin: opened:  2241 us, closed:   904 us, I/O:  28983 us, total:  44024 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_167.bin: opened:  2254 us, closed:   903 us, I/O:  38424 us, total:  53477 us, speed:   260 KB/s, CRC32: 0xC61C2AA0
File test_168.bin: opened:  2274 us, closed:   904 us, I/O:  29394 us, total:  44486 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_169.bin: opened:  2278 us, closed:   919 us, I/O:  39363 us, total:  55229 us, speed:   254 KB/s, CRC32: 0xC61C2AA0
File test_170.bin: opened:  2296 us, closed:   928 us, I/O:  28964 us, total:  44243 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_171.bin: opened:  2286 us, closed:   908 us, I/O:  35115 us, total:  50332 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_172.bin: opened:  2300 us, closed:   909 us, I/O:  29341 us, total:  44623 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_173.bin: opened:  2333 us, closed:   897 us, I/O:  35443 us, total:  50756 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_174.bin: opened:  2329 us, closed:   896 us, I/O:  28875 us, total:  44360 us, speed:   346 KB/s, CRC32: 0xC61C2AA0
File test_175.bin: opened:  2342 us, closed:   901 us, I/O:  35047 us, total:  50415 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_176.bin: opened:  2363 us, closed:   905 us, I/O:  29237 us, total:  44635 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_177.bin: opened:  2386 us, closed:   911 us, I/O:  37043 us, total:  53217 us, speed:   269 KB/s, CRC32: 0xC61C2AA0
File test_178.bin: opened:  2390 us, closed:   910 us, I/O:  31569 us, total:  47095 us, speed:   316 KB/s, CRC32: 0xC61C2AA0
File test_179.bin: opened:  2412 us, closed:   907 us, I/O:  34905 us, total:  50487 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_180.bin: opened:  2416 us, closed:   905 us, I/O:  32510 us, total:  48079 us, speed:   307 KB/s, CRC32: 0xC61C2AA0
File test_181.bin: opened:  2436 us, closed:   898 us, I/O:  35386 us, total:  51018 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_182.bin: opened:  2441 us, closed:   907 us, I/O:  31927 us, total:  47601 us, speed:   313 KB/s, CRC32: 0xC61C2AA0
File test_183.bin: opened:  2463 us, closed:   904 us, I/O:  34964 us, total:  50600 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_184.bin: opened:  2469 us, closed:   903 us, I/O:  29129 us, total:  44931 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_185.bin: opened:  2475 us, closed:   918 us, I/O:  37060 us, total:  53552 us, speed:   269 KB/s, CRC32: 0xC61C2AA0
File test_186.bin: opened:  2495 us, closed:   904 us, I/O:  29593 us, total:  45459 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_187.bin: opened:  2505 us, closed:   907 us, I/O:  34843 us, total:  50881 us, speed:   287 KB/s, CRC32: 0xC61C2AA0
File test_188.bin: opened:  2522 us, closed:   914 us, I/O:  29094 us, total:  45009 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_189.bin: opened:  2532 us, closed:   899 us, I/O:  35228 us, total:  51204 us, speed:   283 KB/s, CRC32: 0xC61C2AA0
File test_190.bin: opened:  2564 us, closed:   915 us, I/O:  29509 us, total:  45485 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_191.bin: opened:  2554 us, closed:   898 us, I/O:  37608 us, total:  53574 us, speed:   265 KB/s, CRC32: 0xC61C2AA0
File test_192.bin: opened:  2590 us, closed:   898 us, I/O:  32411 us, total:  48454 us, speed:   308 KB/s, CRC32: 0xC61C2AA0
File test_193.bin: opened:  2608 us, closed:   909 us, I/O:  37076 us, total:  53869 us, speed:   269 KB/s, CRC32: 0xC61C2AA0
File test_194.bin: opened:  2602 us, closed:   911 us, I/O:  29541 us, total:  45749 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
